,RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30
0,394913,1,"New York, NY",msa,NY,1986.778075513372,2009.2980490675168,2025.1355623522013,2036.9640076470243,2037.406363689632,2050.228352289889,2055.3315157797424,2056.8405696873565,2058.337525044444,2059.297615758498,2062.2217864274407,2067.1682831546946,2075.48054877899,2087.255061409331,2092.712586550761,2104.251149446672,2111.254234071659,2116.2457943612,2119.696756183116,2117.8677260133804,2118.2786293424933,2114.4658490086504,2124.4853055676417,2129.621968780776,2145.27846751424,2156.019930149917,2172.569525477012,2184.901209457284,2196.8572479839463,2202.8209816342364,2208.383336043254,2202.1962889538654,2223.3386270195515,2232.276063167124,2233.687211092188,2215.0821404401268,2214.1883356364074,2226.6430417912643,2238.781217610117,2251.960216557294,2262.575333381709,2269.022683072744,2270.281296712682,2275.4296915322075,2277.8231189005533,2276.901868785422,2278.868374138473,2278.6912347904035,2282.9921697725617,2297.6086071296827,2321.5383970387247,2339.762047450733,2351.0457091292155,2357.6644281305016,2356.948315588092,2349.900061311888,2335.912456282211,2348.042228682536,2351.693368921304,2369.221262811634,2367.4097047531195,2380.699000846484,2396.621164857768,2414.8771053108776,2429.4002725782,2438.7557230747466,2448.58851294132,2454.7596253696847,2455.760991284341,2444.9686601458093,2460.8148946138576,2464.280268854925,2492.817419119745,2511.0744001967814,2552.9551306283383,2579.1547870447994,2594.641850268406,2616.3682742283067,2635.578809057469,2654.8412850429067,2647.7617371471065,2663.5202252519043,2661.046502949846,2697.159599857011,2723.972732393996,2770.723451427193,2802.324523636036,2833.55943123865,2867.661131850708,2890.81013421784,2916.177224843387,2930.522241908516,2935.6289419389364,2929.1303635161858,2925.362825885787,2929.1052665190973,2943.182375465501,2974.638532837829,3018.9227176771965,3059.2138485013274,3080.775097636956,3083.6471021254456,3094.7309962335944,3100.0231078919355,3105.124166297517,3095.404818663813,3097.639927342776,3116.2663439509624,3148.722675291924,3175.3671708128645,3209.7763894239065,3222.1930778918163,3235.052602092037,3240.295733056588,3256.093227013882,3263.037324202873,3253.9915970850298,3244.9780707396303,3256.598284330932,3291.1966221037787,3314.24616307344,3313.763261528637,3314.6373347157164,3333.005700820248,3362.852031904502,3380.9729003676134,3386.542150344471,3393.952757954892,3387.286958123413
1,394425,50,"Buffalo, NY",msa,NY,1022.1716776726496,1040.6156419367032,1041.3793777237631,1047.0893963883066,1051.7509299645048,1073.0337763301436,1087.0707571497237,1092.1708193054455,1098.555165955005,1084.0831516802211,1076.7212935408938,1067.9424616117872,1062.2679893890345,1063.935534212964,1068.51742444113,1094.4331417467447,1095.7832764145578,1111.428895748228,1090.1546418395542,1093.336728914653,1084.2885439232125,1104.227186711243,1104.4111313095764,1106.2018519980827,1096.8843503024743,1111.0234848082173,1112.2364397205183,1124.7809847764497,1123.8922271806262,1147.083202253241,1158.0437859649828,1161.728296122696,1155.3366651541928,1149.5935516911284,1156.386628004742,1164.2602668869154,1173.6631397514116,1186.4268003309226,1193.1046944202672,1191.432099433421,1187.4340666688372,1175.8215078338917,1188.8994179932972,1191.7551822126145,1193.6572494386903,1191.7320097714394,1199.9255276228996,1208.9333181686577,1217.8262746796688,1214.7638085435044,1229.2632259147704,1245.423423403997,1260.72381085264,1253.2809128670774,1252.9364335491243,1249.1534469573526,1255.5763221623768,1262.3042683297963,1261.3499595505778,1264.1300479743095,1244.607469610786,1259.3360385136014,1276.7523394829334,1302.4799364454725,1304.0506306094924,1312.3889019080882,1321.5597804724275,1335.5774319446664,1330.1344412649228,1329.7211091368576,1324.24342757333,1336.850925435613,1345.5841073864235,1380.6386378648606,1393.0569866798653,1418.446245694838,1437.22467080148,1458.4407764678704,1470.788857543725,1475.2892384454767,1490.526130743743,1512.6857058258172,1515.3151751301446,1522.2323513427166,1526.5754979472424,1536.2481985145216,1545.8006182042288,1549.7242445681395,1567.507556977172,1580.0813938441124,1601.4023805424292,1601.3330290904998,1619.1738622690868,1614.870439526263,1634.533114399944,1638.8411737893446,1660.3823483152132,1657.2507860965468,1666.322687515262,1672.2794625481718,1687.9322648788288,1702.9381708534636,1725.992003349982,1735.027783515221,1726.938689540555,1733.546017508568,1751.056472439379,1762.9434825392748,1754.4142512737228,1754.3559967752517,1771.616654067572,1783.984756164507,1800.4591583784984,1791.6868579487625,1785.4345782177484,1793.381019482719,1820.70918435122,1839.6043685296013,1846.5890217091871,1853.1618676106305,1842.2104897494864,1832.7370978497988,1828.5967181325373,1842.2398239005115,1855.189574898931,1873.397934365272,1899.9821203397653,1883.143280256986,1887.645754542084
2,395031,52,"Rochester, NY",msa,NY,1058.6970129281688,1054.625600262163,1055.9187626971743,1063.1168748500872,1076.1877011142851,1103.487894315174,1101.5335612462543,1088.444673675866,1086.5392477287617,1088.6402842894636,1105.9347680706455,1092.1000486934604,1104.4379863363165,1095.8262840434295,1113.3221332495802,1110.695308806716,1132.0064697473445,1139.1559948065117,1143.5284957255749,1141.907392686411,1135.590927794218,1134.6091198687257,1132.8888675771514,1130.4549451536996,1131.055089297691,1139.888042561176,1150.9773845102536,1155.8355347856182,1155.8076247498227,1164.3818653791966,1176.742030075041,1184.7289173644192,1177.8961418907063,1171.432850049227,1173.99982722737,1179.9164471117838,1195.427168872227,1191.8176101066522,1200.5607749493618,1207.6945916840036,1221.653526662698,1225.7240976870364,1231.8248584925418,1241.1444856070418,1242.7119113323786,1238.0856067121658,1226.738108592201,1224.32274415593,1223.4240569435733,1236.505643553252,1256.0580415752988,1277.5863598105848,1283.168185587706,1286.9572712983695,1278.6389443266803,1281.1860244447014,1283.2100525176977,1271.8029195880997,1274.6076214091315,1275.35262132137,1295.2596786171648,1307.7276221300745,1325.1116042928663,1334.3566865096266,1340.6705479546622,1338.2899650604422,1347.6788738814946,1344.201181739226,1355.548217397184,1351.3409474197451,1371.461167863844,1384.0071878307742,1402.2669580785284,1414.9260390930615,1426.1415331755743,1448.2470763535614,1455.924915919073,1467.0339387453455,1481.1707109478114,1489.1680344149809,1488.5299013986792,1483.6280585358911,1480.4685561627568,1489.4916981658653,1509.5580544477175,1565.233058653438,1595.3332354939091,1614.0640037984792,1602.4207204970533,1615.4241845473875,1615.9583411842916,1617.321767490056,1630.563583504491,1628.9462081474817,1638.577026380375,1651.9735109576502,1686.3199473901814,1703.6789860202791,1700.2654824646513,1729.3760995460705,1741.8768516100802,1757.1358320652,1732.0293109214304,1744.3335633411969,1770.047347832742,1800.1528280957973,1810.5320388363969,1813.6738363794527,1820.720940777447,1847.4156247991805,1858.791190096204,1874.2448549210608,1867.9089547112253,1873.68340351118,1884.7459084517336,1890.8973360491373,1893.188605390112,1893.73641247541,1914.6571656002925,1915.674803557212,1932.7655836097872,1947.5920868659696,1986.46898973418,1991.0592999381604,1986.5641995639044,1986.961731134602,1990.3589073647752,2003.20034805891,1994.7134754990925
3,394308,64,"Albany, NY",msa,NY,1271.5089655466147,1293.157631293123,1298.2441831927272,1284.2219066209543,1275.5874050167286,1293.7767860180704,1318.9403233896387,1328.8714791712478,1317.0948893918028,1300.0923955872513,1290.773003318169,1286.2780544691298,1285.742398644902,1292.2865927593796,1299.6541838301994,1310.051024104171,1320.731122069727,1326.9822891509416,1331.7698956741965,1333.22460177435,1345.0537556810227,1329.6663482386552,1322.9821729530106,1311.4915571013871,1318.8558851786956,1327.3822226658292,1326.257890808272,1344.057970163394,1360.0675437074665,1372.6380954192714,1368.0559434174354,1369.0216776814814,1366.8830720437977,1365.5002058129348,1355.264821750755,1365.0013041841269,1372.3962875089917,1381.0424905063342,1397.010219121977,1413.818826439233,1435.2051024518958,1433.562014777522,1418.738328756392,1408.9439736130378,1409.9633393689137,1425.9830710922754,1419.9080551547747,1415.178204127519,1410.001592229382,1428.657313602646,1427.3631394506622,1448.9023077215843,1446.070457052295,1480.1403528869473,1474.7827900839566,1461.9109436300257,1429.5492515140668,1429.6955837246448,1443.4290401033172,1460.9500166470657,1470.8750406518195,1484.2882860992122,1509.0813128019709,1516.125308135368,1519.095632520262,1502.4095279798985,1504.0879010553836,1517.9926597488216,1530.6241368134706,1555.572136712074,1575.888978934106,1592.8299076202986,1601.835736549643,1604.1833194999344,1609.6869721396365,1597.126088409544,1609.937206257942,1637.7542104981828,1678.272144372469,1678.4229399738444,1679.2848270906618,1674.7040125755934,1713.1726348067723,1730.4425185851856,1750.3562208001513,1740.6587282314456,1747.9663761553184,1743.1637132190097,1761.7971542418722,1775.2764348410442,1814.6030267476567,1832.204830631605,1824.36010553967,1825.9339211267177,1823.2680256446763,1859.859071413041,1853.7466233231069,1864.6919734501084,1851.8833085422048,1851.90458517216,1877.978781442139,1889.7970474500023,1918.9668541703727,1897.058849178566,1916.6567308520696,1909.034500505178,1949.7869366483967,1948.891442210388,1985.017652249088,1962.4666897367465,1990.7960352504783,1988.1764688272992,2030.1925912916904,2034.3604968697489,2047.0677776174675,2036.7281043024311,2029.4824150183,2022.0259797710069,2029.5579760917983,2046.9422078047503,2046.98494385606,2066.793159461576,2071.5247832176483,2102.124769708116,2098.4417573964965,2124.711792460002,2114.827379663523,2162.793739657041,2162.929347826087
4,845159,86,"Poughkeepsie, NY",msa,NY,1606.7761327791682,1597.0318115754549,1607.7978418050434,1617.7414611541408,1641.6045958805717,1664.1453867929945,1665.118977677184,1668.900331515436,1673.825351369946,1678.6980876073137,1669.4394294348076,1679.3923909695202,1682.2519698289457,1700.8476715116483,1713.5030663129348,1735.611380128684,1744.6396394174214,1733.7276383375831,1735.4106352652232,1739.572702789476,1725.9505365741004,1719.3476233518943,1701.629066624395,1712.7195331337982,1721.0653399997834,1750.6476517988276,1767.1586309547886,1787.1041921234453,1802.726992349911,1811.4173530812527,1819.432525773536,1814.4681303264583,1812.458766915994,1799.7592575281712,1795.075068611662,1790.3230207107083,1845.2976552407847,1878.824287238253,1933.3722496998048,1897.3978771007264,1888.762320477883,1873.0896823791884,1883.6388962425235,1903.9140468319736,1889.7508650273987,1878.2264916504048,1872.3281936454964,1906.53788630508,1931.0625564186964,1940.1946091709751,1943.633834537772,1949.023823150986,1953.4029955754768,1956.8335514610408,1970.3191345597468,1974.0558205397704,1996.832721116201,1980.2095744107496,1991.3943655906744,1983.270863665907,2021.6735417313816,2040.967357304136,2046.091403389572,2055.097036711698,2056.0564532657177,2105.142733275865,2133.444005752562,2158.079580092337,2169.525720377275,2210.126025337077,2228.845643984633,2231.1421968513027,2254.9504413184263,2265.438269256392,2291.632557394837,2264.541010402225,2328.3197889607163,2378.27457975638,2415.481324462816,2440.467460992536,2476.3442938502444,2515.8562733890394,2487.425638748124,2452.5105106188776,2460.3370547856466,2518.971745479936,2582.5455560911582,2618.209191801413,2642.3585978168203,2645.578969550141,2665.3070651059725,2664.9651199392256,2696.876127450127,2667.8038836802475,2676.2332161672944,2664.5704281232784,2710.530292983013,2730.339573267726,2740.806831941137,2777.9573023373214,2795.022353935219,2835.387291975868,2790.93090845114,2787.628430014005,2744.031609673142,2778.1511243588675,2796.4167533620107,2850.9793230447294,2884.700700787392,2899.1351583763526,2871.826899731119,2847.234302441767,2879.560557631221,2931.410580240444,2954.813819309458,2928.6046628189533,2932.80984069799,2967.7829091833805,3019.621058578349,3000.3307031228646,3017.097940995366,2976.9273105439493,3000.111721591343,2967.421856020924,2999.736091789091,2999.530808572673,3024.524754504421,3038.403703017609,3057.25641025641
5,395143,91,"Syracuse, NY",msa,NY,,,,,,,,,,,,,,,,1162.5724742584848,1172.8662103973031,1198.9277722657848,1191.817042844144,1172.9239438044103,1151.0910461552105,1166.7020677798866,1165.670176732912,1185.597480343398,1197.3571043550935,1235.5046929164018,1248.4635773327343,1239.0348209257345,1208.791280406504,1218.6576711841851,1224.7583466630242,1229.5353486724412,1222.872356493067,1236.7456069295863,1243.1282363840196,1228.286632696461,1225.9218676144667,1236.507256609444,1272.0450490052588,1282.4008078525876,1293.0944174938538,1285.8468614913627,1272.1567608263024,1265.2399409760535,1261.7653391065037,1280.104594510157,1304.87843481269,1293.2996095077792,1289.9073611026442,1282.4583664383863,1305.4865872674566,1305.5262635604647,1308.4788331497837,1324.4333787661417,1358.366413772951,1363.0287264085875,1349.5956235800072,1331.4050912568414,1315.5697274292347,1334.0447899536289,1320.9796576580752,1336.068157685983,1342.1162196349817,1381.2724027151364,1402.5036897592472,1423.9212694055595,1428.972044591753,1427.206080865108,1432.9234191113865,1436.5113821108828,1434.5017226411485,1439.4777153144091,1434.3720524998812,1464.7165796002214,1462.3334803366863,1504.485278061611,1505.873268346757,1517.2762880701348,1523.2716950678373,1548.587205432189,1579.351563444681,1578.2422812880277,1555.4782934347318,1595.358833526228,1621.0276207623235,1658.4283031239725,1651.7562806474334,1661.5567386063294,1704.707678683314,1713.5990779447304,1743.6643802916278,1747.2420055890673,1755.0411008241615,1766.4942306748655,1779.3790485615373,1773.9097648331542,1778.4591167251524,1792.020835679355,1821.9614298604736,1853.6767121572177,1860.9465807805768,1887.6865869027456,1879.8163833889464,1902.764090634901,1872.0334378223024,1889.9359775166624,1871.188409678884,1925.252418107768,1933.931513151918,1973.2118465157605,1979.0607575651384,1991.515920326273,2023.8054279743008,2047.2021663289845,2073.16148159466,2041.1451013541305,2038.175272947464,2021.219495793448,2031.982256109956,2033.13070871022,2058.9588561817645,2068.1759853758267,2052.7952913360614,2094.6618470549665,2109.010946917631,2157.657730737985,2147.035298547989,2166.591620914153,2170.3111598440546
6,395179,169,"Utica, NY",msa,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914.704388172888,1870.8972889662127,1866.4503531435669,1892.627981920229,1883.145732590815,1852.423526453348,1854.0654189120853,1890.9087458953625,1949.9753878200145,1969.998025854292,1941.3188589709723,1905.5447874185527,1919.3278654369967,1916.8458889675728,1956.9509525685048,1946.53819699345,2007.2679920832047,2022.8653325529888,2068.5426839857814,2065.744455671904,2106.4317049866013,2089.739954387765,2151.788770918444,2124.0635967058,2131.87376222031,2114.455147779034,2117.223253883707,2150.48193111001,2134.5536089453826,2173.1502635848456,2187.5369142589902,2200.694444444445
7,394387,195,"Binghamton, NY",msa,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2051.876819107548,2046.7804427489148,2200.476367953712,2281.616382095786,2366.6524049081613,2184.090002772304,2209.866366659164,2194.353984598207,2300.8109085788337,2272.8451665471507,2371.887402371412,2287.6815945267927,2297.577302914985,2248.7423333090783,2351.100443192833,2461.4255724949703,2596.111111111112
8,394748,241,"Kingston, NY",msa,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2432.441557972324,2444.287132014488,2433.4396751660847,2441.44046119141,2440.010327390541,2461.34672518663,2496.7612565022696,2497.098431980876,2410.7015079841203,2352.805776861273,2342.677968875981,2355.414412507341,2365.2487800412905,2367.7879211388763,2496.07409081778,2553.216066335711,2558.5394057376247,2497.755740191445,2567.780080226169,2688.5879545963044,2663.689845656252,2551.6769820260192,2479.785310502251,2412.3680543063942,2448.6486604774727,2493.448749942896,2598.3715916095166,2645.0742417755982,2638.472946551796,2671.2512086922384,2700.616316933726,2673.456340513392,2657.9166666666665
9,394719,328,"Jamestown, NY",msa,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080.0688101247192,1037.5
10,394633,331,"Glens Falls, NY",msa,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250.0
11,395213,351,"Watertown, NY",msa,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1656.855414013228,1653.286290209437,1669.4962003605674,1675.348657049407,1691.885381840032,1680.7972991144309,1674.1896252721997,1639.7002442443663,1613.7112769965345,1646.284872785212,1686.9527053866543,1714.5881897112472,1715.801465416582,1704.097138818641,1700.1553107636164,1706.5519325591104,1730.0
12,394709,376,"Ithaca, NY",msa,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2129.387204791211,2182.5224336974297,2365.321870069181,2403.397933008528,2434.95562085984,2443.39017776176,2465.02619806356,2469.451550518737,2444.858839248119,2357.2613648880742,2332.733498304671,2361.222941818324,2431.609513247596,2385.699152710112,2471.170524960154,2510.438820389508,2730.828446524937,2735.856239761732,2762.779965211745,2645.1108898640127,2583.232120720951,2513.4457671957675
13,394501,413,"Corning, NY",msa,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1758.3286533763817,1672.7089648165745,1589.388888888889
14,394568,432,"Elmira, NY",msa,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1180.0
15,394350,464,"Auburn, NY",msa,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450.0
16,394939,542,"Oneonta, NY",msa,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800.0
