County,Year,MedianRent
Schoharie,2015,596.0
Fulton,2015,548.0
Rensselaer,2015,722.0
Franklin,2015,534.0
Queens,2015,1248.0
Washington,2015,627.0
New York,2015,1432.0
Cayuga,2015,557.0
Rockland,2015,1200.0
Niagara,2015,523.0
Essex,2015,635.0
Nassau,2015,1437.0
Jefferson,2015,757.0
Suffolk,2015,1391.0
Wyoming,2015,470.0
Oswego,2015,560.0
Wayne,2015,561.0
Broome,2015,595.0
Erie,2015,599.0
Sullivan,2015,699.0
Orange,2015,984.0
Schuyler,2015,510.0
Chenango,2015,512.0
Bronx,2015,959.0
Onondaga,2015,668.0
Seneca,2015,556.0
Putnam,2015,1150.0
Herkimer,2015,507.0
Ontario,2015,689.0
Steuben,2015,513.0
Hamilton,2015,481.0
Chautauqua,2015,472.0
Kings,2015,1110.0
Tioga,2015,526.0
Orleans,2015,507.0
Saratoga,2015,844.0
Columbia,2015,725.0
Lewis,2015,523.0
Westchester,2015,1233.0
Delaware,2015,528.0
Montgomery,2015,536.0
Richmond,2015,1021.0
St. Lawrence,2015,545.0
Tompkins,2015,907.0
Warren,2015,726.0
Cortland,2015,576.0
Dutchess,2015,980.0
Monroe,2015,711.0
Oneida,2015,557.0
Ulster,2015,849.0
Chemung,2015,594.0
Livingston,2015,579.0
Otsego,2015,627.0
Clinton,2015,636.0
Greene,2015,668.0
Albany,2015,792.0
Allegany,2015,462.0
Cattaraugus,2015,460.0
Madison,2015,574.0
Schenectady,2015,696.0
Genesee,2015,569.0
Yates,2015,535.0
Schoharie,2016,620.0
Fulton,2016,564.0
Rensselaer,2016,741.0
Franklin,2016,540.0
Queens,2016,1291.0
Washington,2016,643.0
New York,2016,1488.0
Cayuga,2016,574.0
Rockland,2016,1230.0
Niagara,2016,530.0
Essex,2016,633.0
Nassau,2016,1463.0
Schuyler,2016,560.0
Chenango,2016,516.0
Jefferson,2016,768.0
Suffolk,2016,1431.0
Oswego,2016,577.0
Wayne,2016,578.0
Broome,2016,609.0
Erie,2016,617.0
Sullivan,2016,709.0
Orange,2016,985.0
Bronx,2016,984.0
Onondaga,2016,686.0
Clinton,2016,642.0
Seneca,2016,575.0
Putnam,2016,1165.0
Herkimer,2016,512.0
Ontario,2016,697.0
Steuben,2016,525.0
Hamilton,2016,529.0
Chautauqua,2016,483.0
Kings,2016,1150.0
Tioga,2016,542.0
Orleans,2016,518.0
Saratoga,2016,872.0
Columbia,2016,729.0
Lewis,2016,524.0
Westchester,2016,1266.0
Delaware,2016,545.0
Montgomery,2016,551.0
Richmond,2016,1042.0
St. Lawrence,2016,543.0
Tompkins,2016,933.0
Warren,2016,746.0
Cortland,2016,614.0
Dutchess,2016,980.0
Monroe,2016,729.0
Oneida,2016,567.0
Ulster,2016,860.0
Chemung,2016,603.0
Livingston,2016,581.0
Otsego,2016,630.0
Greene,2016,665.0
Albany,2016,810.0
Allegany,2016,478.0
Cattaraugus,2016,470.0
Madison,2016,578.0
Schenectady,2016,714.0
Genesee,2016,569.0
Yates,2016,538.0
Wyoming,2016,495.0
Schoharie,2017,643.0
Bronx,2017,1024.0
Onondaga,2017,710.0
Fulton,2017,574.0
Clinton,2017,657.0
Seneca,2017,581.0
Rensselaer,2017,769.0
Putnam,2017,1191.0
Franklin,2017,549.0
Herkimer,2017,529.0
Ontario,2017,714.0
Queens,2017,1342.0
Steuben,2017,546.0
Hamilton,2017,530.0
Washington,2017,658.0
Chautauqua,2017,495.0
Kings,2017,1191.0
New York,2017,1521.0
Tioga,2017,559.0
Cayuga,2017,590.0
Orleans,2017,528.0
Saratoga,2017,895.0
Rockland,2017,1260.0
Columbia,2017,741.0
Lewis,2017,543.0
Niagara,2017,539.0
Westchester,2017,1320.0
Delaware,2017,552.0
Essex,2017,638.0
Montgomery,2017,562.0
Nassau,2017,1534.0
Richmond,2017,1079.0
St. Lawrence,2017,575.0
Schuyler,2017,584.0
Tompkins,2017,975.0
Warren,2017,754.0
Chenango,2017,525.0
Cortland,2017,639.0
Dutchess,2017,1032.0
Jefferson,2017,797.0
Monroe,2017,758.0
Oneida,2017,587.0
Suffolk,2017,1484.0
Ulster,2017,879.0
Wyoming,2017,500.0
Chemung,2017,634.0
Livingston,2017,599.0
Oswego,2017,592.0
Otsego,2017,658.0
Greene,2017,686.0
Wayne,2017,591.0
Albany,2017,841.0
Allegany,2017,496.0
Broome,2017,623.0
Cattaraugus,2017,480.0
Erie,2017,637.0
Madison,2017,595.0
Schenectady,2017,743.0
Sullivan,2017,712.0
Genesee,2017,587.0
Yates,2017,548.0
Orange,2017,1016.0
Schoharie,2018,648.0
Fulton,2018,586.0
Rensselaer,2018,792.0
Franklin,2018,544.0
Queens,2018,1403.0
Washington,2018,683.0
New York,2018,1583.0
Cayuga,2018,617.0
Rockland,2018,1315.0
Niagara,2018,553.0
Essex,2018,653.0
Nassau,2018,1607.0
Schuyler,2018,594.0
Chenango,2018,547.0
Jefferson,2018,806.0
Suffolk,2018,1547.0
Wyoming,2018,500.0
Oswego,2018,616.0
Wayne,2018,602.0
Broome,2018,645.0
Erie,2018,666.0
Sullivan,2018,742.0
Orange,2018,1054.0
Bronx,2018,1063.0
Onondaga,2018,735.0
Clinton,2018,684.0
Seneca,2018,608.0
Putnam,2018,1262.0
Herkimer,2018,541.0
Ontario,2018,746.0
Steuben,2018,554.0
Hamilton,2018,560.0
Chautauqua,2018,521.0
Kings,2018,1267.0
Tioga,2018,606.0
Orleans,2018,551.0
Saratoga,2018,934.0
Columbia,2018,762.0
Lewis,2018,536.0
Westchester,2018,1369.0
Delaware,2018,551.0
Montgomery,2018,582.0
Richmond,2018,1135.0
St. Lawrence,2018,596.0
Tompkins,2018,1010.0
Warren,2018,760.0
Cortland,2018,661.0
Dutchess,2018,1047.0
Monroe,2018,783.0
Oneida,2018,606.0
Ulster,2018,916.0
Chemung,2018,661.0
Livingston,2018,623.0
Otsego,2018,671.0
Greene,2018,711.0
Albany,2018,866.0
Allegany,2018,510.0
Cattaraugus,2018,493.0
Madison,2018,608.0
Schenectady,2018,767.0
Genesee,2018,589.0
Yates,2018,594.0
Schoharie,2019,662.0
Fulton,2019,601.0
Rensselaer,2019,822.0
Franklin,2019,573.0
Queens,2019,1466.0
Washington,2019,703.0
New York,2019,1646.0
Cayuga,2019,638.0
Rockland,2019,1355.0
Niagara,2019,575.0
Essex,2019,675.0
Nassau,2019,1651.0
Schuyler,2019,614.0
Chenango,2019,546.0
Jefferson,2019,830.0
Suffolk,2019,1606.0
Wyoming,2019,520.0
Oswego,2019,630.0
Wayne,2019,619.0
Broome,2019,652.0
Erie,2019,700.0
Sullivan,2019,765.0
Orange,2019,1091.0
Bronx,2019,1097.0
Onondaga,2019,762.0
Clinton,2019,703.0
Seneca,2019,630.0
Putnam,2019,1345.0
Herkimer,2019,555.0
Ontario,2019,768.0
Steuben,2019,565.0
Hamilton,2019,574.0
Chautauqua,2019,531.0
Kings,2019,1322.0
Tioga,2019,615.0
Orleans,2019,570.0
Saratoga,2019,979.0
Columbia,2019,786.0
Lewis,2019,566.0
Westchester,2019,1408.0
Delaware,2019,546.0
Montgomery,2019,626.0
Richmond,2019,1177.0
St. Lawrence,2019,612.0
Tompkins,2019,1080.0
Warren,2019,783.0
Cortland,2019,684.0
Dutchess,2019,1071.0
Monroe,2019,810.0
Oneida,2019,623.0
Ulster,2019,937.0
Chemung,2019,675.0
Livingston,2019,641.0
Otsego,2019,681.0
Greene,2019,732.0
Albany,2019,894.0
Allegany,2019,514.0
Cattaraugus,2019,510.0
Madison,2019,621.0
Schenectady,2019,795.0
Genesee,2019,606.0
Yates,2019,618.0
Allegany,2020,520.0
Cattaraugus,2020,516.0
Chemung,2020,715.0
Columbia,2020,821.0
Dutchess,2020,1098.0
Essex,2020,663.0
Genesee,2020,642.0
Herkimer,2020,571.0
Lewis,2020,547.0
Monroe,2020,831.0
New York,2020,1695.0
Onondaga,2020,779.0
Orleans,2020,600.0
Putnam,2020,1361.0
Richmond,2020,1239.0
Albany,2020,914.0
Bronx,2020,1123.0
Broome,2020,672.0
Cayuga,2020,657.0
Chautauqua,2020,540.0
Chenango,2020,552.0
Clinton,2020,717.0
Cortland,2020,690.0
Delaware,2020,582.0
Erie,2020,729.0
Franklin,2020,600.0
Fulton,2020,613.0
Greene,2020,751.0
Hamilton,2020,600.0
Jefferson,2020,860.0
Kings,2020,1377.0
Livingston,2020,656.0
Madison,2020,623.0
Montgomery,2020,620.0
Nassau,2020,1708.0
Niagara,2020,599.0
Oneida,2020,642.0
Ontario,2020,781.0
Orange,2020,1126.0
Oswego,2020,661.0
Otsego,2020,690.0
Queens,2020,1520.0
Rensselaer,2020,855.0
Rockland,2020,1396.0
St. Lawrence,2020,593.0
Saratoga,2020,1023.0
Schenectady,2020,817.0
Schoharie,2020,678.0
Schuyler,2020,606.0
Seneca,2020,662.0
Steuben,2020,580.0
Suffolk,2020,1669.0
Sullivan,2020,772.0
Tioga,2020,653.0
Tompkins,2020,1057.0
Ulster,2020,946.0
Warren,2020,797.0
Washington,2020,721.0
Wayne,2020,627.0
Westchester,2020,1463.0
Wyoming,2020,541.0
Yates,2020,586.0
Albany,2021,963.0
Allegany,2021,529.0
Bronx,2021,1180.0
Broome,2021,692.0
Cattaraugus,2021,536.0
Cayuga,2021,678.0
Chautauqua,2021,562.0
Chemung,2021,756.0
Chenango,2021,581.0
Clinton,2021,747.0
Columbia,2021,874.0
Cortland,2021,708.0
Delaware,2021,605.0
Dutchess,2021,1162.0
Erie,2021,766.0
Essex,2021,711.0
Franklin,2021,619.0
Fulton,2021,632.0
Genesee,2021,669.0
Greene,2021,784.0
Hamilton,2021,646.0
Herkimer,2021,604.0
Jefferson,2021,898.0
Kings,2021,1456.0
Lewis,2021,584.0
Livingston,2021,685.0
Madison,2021,666.0
Monroe,2021,873.0
Montgomery,2021,644.0
Nassau,2021,1796.0
New York,2021,1768.0
Niagara,2021,624.0
Oneida,2021,669.0
Onondaga,2021,817.0
Ontario,2021,840.0
Orange,2021,1194.0
Orleans,2021,617.0
Oswego,2021,704.0
Otsego,2021,718.0
Putnam,2021,1427.0
Queens,2021,1603.0
Rensselaer,2021,912.0
Richmond,2021,1315.0
Rockland,2021,1471.0
St. Lawrence,2021,622.0
Saratoga,2021,1080.0
Schenectady,2021,857.0
Schoharie,2021,688.0
Schuyler,2021,617.0
Seneca,2021,684.0
Steuben,2021,615.0
Suffolk,2021,1747.0
Sullivan,2021,812.0
Tioga,2021,696.0
Tompkins,2021,1143.0
Ulster,2021,997.0
Warren,2021,842.0
Washington,2021,759.0
Wayne,2021,654.0
Westchester,2021,1543.0
Wyoming,2021,550.0
Yates,2021,608.0
Albany,2022,1046.0
Allegany,2022,570.0
Bronx,2022,1265.0
Broome,2022,747.0
Cattaraugus,2022,577.0
Cayuga,2022,727.0
Chautauqua,2022,601.0
Chemung,2022,808.0
Chenango,2022,631.0
Clinton,2022,804.0
Columbia,2022,966.0
Cortland,2022,767.0
Delaware,2022,643.0
Dutchess,2022,1260.0
Erie,2022,849.0
Essex,2022,724.0
Franklin,2022,645.0
Fulton,2022,688.0
Genesee,2022,720.0
Greene,2022,850.0
Hamilton,2022,676.0
Herkimer,2022,651.0
Jefferson,2022,998.0
Kings,2022,1592.0
Lewis,2022,634.0
Livingston,2022,739.0
Madison,2022,738.0
Monroe,2022,945.0
Montgomery,2022,672.0
Nassau,2022,1944.0
New York,2022,1924.0
Niagara,2022,689.0
Oneida,2022,731.0
Onondaga,2022,878.0
Ontario,2022,918.0
Orange,2022,1305.0
Orleans,2022,667.0
Oswego,2022,752.0
Otsego,2022,778.0
Putnam,2022,1557.0
Queens,2022,1722.0
Rensselaer,2022,982.0
Richmond,2022,1419.0
Rockland,2022,1575.0
St. Lawrence,2022,653.0
Saratoga,2022,1142.0
Schenectady,2022,926.0
Schoharie,2022,733.0
Schuyler,2022,628.0
Seneca,2022,731.0
Steuben,2022,663.0
Suffolk,2022,1912.0
Sullivan,2022,869.0
Tioga,2022,746.0
Tompkins,2022,1191.0
Ulster,2022,1094.0
Warren,2022,900.0
Washington,2022,826.0
Wayne,2022,722.0
Westchester,2022,1655.0
Wyoming,2022,597.0
Yates,2022,645.0
Albany,2023,1115.0
Allegany,2023,574.0
Bronx,2023,1289.0
Broome,2023,774.0
Cattaraugus,2023,595.0
Cayuga,2023,747.0
Chautauqua,2023,628.0
Chemung,2023,829.0
Chenango,2023,668.0
Clinton,2023,835.0
Columbia,2023,1028.0
Cortland,2023,789.0
Delaware,2023,687.0
Dutchess,2023,1333.0
Erie,2023,887.0
Essex,2023,746.0
Franklin,2023,690.0
Fulton,2023,710.0
Genesee,2023,760.0
Greene,2023,833.0
Hamilton,2023,710.0
Herkimer,2023,682.0
Jefferson,2023,1032.0
Kings,2023,1657.0
Lewis,2023,681.0
Livingston,2023,748.0
Madison,2023,767.0
Monroe,2023,993.0
Montgomery,2023,698.0
Nassau,2023,2005.0
New York,2023,2029.0
Niagara,2023,731.0
Oneida,2023,759.0
Onondaga,2023,931.0
Ontario,2023,937.0
Orange,2023,1379.0
Orleans,2023,677.0
Oswego,2023,780.0
Otsego,2023,797.0
Putnam,2023,1707.0
Queens,2023,1778.0
Rensselaer,2023,1036.0
Richmond,2023,1505.0
Rockland,2023,1647.0
St. Lawrence,2023,675.0
Saratoga,2023,1190.0
Schenectady,2023,965.0
Schoharie,2023,770.0
Schuyler,2023,681.0
Seneca,2023,767.0
Steuben,2023,711.0
Suffolk,2023,2023.0
Sullivan,2023,888.0
Tioga,2023,758.0
Tompkins,2023,1242.0
Ulster,2023,1145.0
Warren,2023,925.0
Washington,2023,825.0
Wayne,2023,746.0
Westchester,2023,1728.0
Wyoming,2023,602.0
Yates,2023,623.0
